t,pop,estrategia,n_vizinhos
3,92,Y,47.886186034786995
3,92,B,37.06481481481482
3,93,O,48.0
3,93,Y,47.88042941757157
3,93,B,43.13636363636363
3,94,O,48.0
3,94,Y,47.84279655219592
3,94,B,38.5709219858156
3,95,O,48.0
3,95,Y,47.80470986208691
3,95,B,38.386138613861384
3,96,O,48.0
3,96,Y,47.88162375698134
3,96,B,37.794117647058826
3,97,O,48.0
3,97,Y,47.90509898020396
3,97,B,38.18681318681319
3,98,O,48.0
3,98,Y,47.87853939782191
3,98,B,38.53291536050157
3,99,O,48.0
3,99,Y,47.8793189784677
3,99,B,34.234693877551024
4,0,O,48.0
4,0,Y,47.98241525423729
